"projectNr" "projectRegion" "sponsor" "Approved" "Signed" "enterpriseBase" "totalProjectCost" "riskManagement" "guarantee" "loan" "equity" "URL"
"10010" NA NA "2000-06-22" "2001-03-23" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7ca876bffc55a58d852576c10080cf3f?OpenDocument"
"10020" NA NA "2000-09-14" "2000-09-15" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3f09fdf73c1bceca852576c10080d161?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9092ed881e91f9c7852576c10080cbd0?OpenDocument"
"10022" NA NA "2000-11-16" "2002-10-31" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/2177abc7ea21766b852576c10080d235?OpenDocument"
"10023" NA NA "2000-12-21" "2001-01-31" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/6b6e3dd8ce00b5d7852576c10080d005?OpenDocument"
"10024" NA NA "2002-05-07" "2002-06-27" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a69415f7fb638d3d852576ba000e23dc?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d4c578522f75e941852576ba000e2463?OpenDocument"
"10029" NA NA "2000-06-22" "2000-12-22" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/81f54249759115f3852576c10080ce55?OpenDocument"
"10030" NA NA "2001-02-08" "2002-06-17" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/458240222c77eb90852576c10080cb59?OpenDocument"
"10031" NA NA "2000-08-07" "2001-04-02" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/059a381ca729697d852576c10080d142?OpenDocument"
"10032" NA NA "2000-05-09" NA NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/359ef7fa44775af0852576c10080cfcd?OpenDocument"
"10033" NA NA "2000-08-10" "2001-05-31" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d887956e01038499852576c10080cd64?OpenDocument"
"10034" NA NA "2000-07-26" "2002-02-22" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3e2a34df6c427aeb852576c10080d17f?OpenDocument"
"10043" NA NA "2000-05-26" "2000-09-13" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/424d09c0533bbfd3852576c10080ceb7?OpenDocument"
"10044" NA NA "2000-06-27" "2000-12-15" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/6eb277c2f1bdf0c2852576ba000e2ede?OpenDocument"
"10046" NA NA "2000-04-25" "2000-06-11" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/bb83cc2e25785ade852576c10080cd6a?OpenDocument"
"10055" NA NA "2000-04-14" "2000-05-29" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/726a8219a9f49f58852576c10080d1f5?OpenDocument"
"10056" NA NA "2000-06-07" "2000-09-25" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/f9370225c3f5746f852576c10080cfcc?OpenDocument"
"10058" NA NA "2000-06-26" "2001-11-28" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e856eba751b9848d852576c10080ce85?OpenDocument"
"10060" NA NA "2000-01-11" NA NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/5cd740b34204133e852576ba000e2f39?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/da05bcab396c56b1852576ba000e2f38?OpenDocument"
"10061" NA NA "2000-04-20" "2000-04-20" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/0ecc43e7bad22370852576c10080d2e7?OpenDocument"
"10063" NA NA "2000-05-22" "2000-05-26" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/35c8e6b6180836c9852576c10080d237?OpenDocument"
